355050509-57;Cleber F C Parker;CPark355;Par604
674796087-86;Orclevio F I Madsen;OMads674;Mad476
495137970-94;Isabela E J Massula;IMass495;Mas531
138496491-65;Mirella F B Parker;MPark138;Par311
536425533-16;Athos C G Emanuel;AEman536;Ema956
555842150-32;Rogério K D Martins;RMart555;Mar969
082375117-92;Rafael L C Dias;RDias082;Dia355
557973211-88;Walber K K Baker;WBake557;Bak101
095573360-07;Emanuel D A Garcia;EGarc095;Gar230
043869268-08;Eduardo M L Sanders;ESand043;San594
061293657-34;Beatriz L G Oliveira;BOliv061;Oli377
630870637-58;Arthur K L Salah;ASala630;Sal822
161176217-55;Marcus A I Oliveira;MOliv161;Oli964
472676037-99;Gabriel G B Carmo;GCarm472;Car323
135668901-50;João G E Holland;JHoll135;Hol636
271274922-42;Luiz A K Tavares;LTava271;Tav144
252530600-29;Gabriel A E Souza;GSouz252;Sou283
104251386-40;Rafael M M Souza;RSouz104;Sou302
436908259-58;Jardel K G Dawson;JDaws436;Daw641
114851220-05;Jonathan F M Barbosa;JBarb114;Bar843
567153152-65;Rafael D A Souza;RSouz567;Sou536
609606682-09;Márcia E L Baker;MBake609;Bak432
286099778-01;Eduardo I E Barros;EBarr286;Bar147
096247414-40;Leandro F A Domingues;LDomi096;Dom125
147609776-69;Rogério F G Marques;RMarq147;Mar775
297652195-91;Gabriel B K Rodrigues;GRodr297;Rod389
435944942-59;Amália C H Parker;APark435;Par772
109571546-53;Diogo K F Damascena;DDama109;Dam463
075066443-83;Leandro G C Avelino;LAvel075;Ave430
492079584-56;Felipe C L Rodrigues;FRodr492;Rod119
580584777-42;Anna G I Tavares;ATava580;Tav339
234433818-00;Andressa L M Damascena;ADama234;Dam883
534836037-39;Andressa J G Turner;ATurn534;Tur628
671984630-57;Mauro C I Avelino;MAvel671;Ave897
217989627-81;Lucas I J Carmo;LCarm217;Car679
278844841-39;Sabine B D Oliveira;SOliv278;Oli869
213310912-67;Richelle K G Madsen;RMads213;Mad364
369385023-64;Emanuel L D Santarém;ESant369;San951
194512557-75;Sandra H H Leal;SLeal194;Lea370
538427216-47;Eduarda D A Marinho;EMari538;Mar674
521610189-57;Francisco D E Ferreira;FFerr521;Fer578
128178067-94;Jardel A K Heredia;JHere128;Her666
192370215-15;Rafael B C Carmo;RCarm192;Car855
582493631-08;Nicky M L Donaldson;NDona582;Don558
136243797-11;Luiz L B Salah;LSala136;Sal392
350770215-62;Gabriel L K Saunders;GSaun350;Sau516
356947380-12;Arthur D E Baker;ABake356;Bak546
266744924-12;Athos F I Ximenes;AXime266;Xim513
539645774-71;Emanuel E K Turner;ETurn539;Tur326
542550059-79;Amália E B Marinho;AMari542;Mar657
334912862-93;Natália A B Heredia;NHere334;Her490
437200190-05;João K A Parker;JPark437;Par355
497599015-46;Anna L E Marques;AMarq497;Mar440
557163474-00;Athos D A Mandacaru;AMand557;Man226
575973339-78;Diogo C I Dutra;DDutr575;Dut181
307231885-32;Eduardo M K Murta;EMurt307;Mur290
653854463-61;Anna L A Magela;AMage653;Mag298
438743527-00;Rodrigo I E Martin;RMart438;Mar867
351165671-82;Cleber C M deJesus;CdeJe351;deJ480
095249378-31;Leandro F J Marinho;LMari095;Mar968
665883731-44;Isadora F J Marques;IMarq665;Mar396
142254611-19;Mauro K A Madsen;MMads142;Mad356
644562297-02;Felipe B C Dutra;FDutr644;Dut553
047884763-31;Walber E B Mattos;WMatt047;Mat144
321498979-89;Bruno M L Caldas;BCald321;Cal443
265837540-69;Leonardo F I Sanders;LSand265;San661
191701433-28;Mirella G J Donaldson;MDona191;Don208
116263399-10;Isadora J F Martin;IMart116;Mar251
101055052-66;Gilberto E J Baker;GBake101;Bak315
271030986-45;Athos E J Amaral;AAmar271;Ama451
261467863-54;Amália A I Parker;APark261;Par391
545856393-57;Diogo F K Domingues;DDomi545;Dom384
172562083-14;Eduarda C A deJesus;EdeJe172;deJ504
379212051-09;Sandra M D Martin;SMart379;Mar209
088316260-87;Leandro M D Ferreira;LFerr088;Fer237
423292317-47;Cristina A I Moreira;CMore423;Mor730
457668461-97;Leticia E M Dawson;LDaws457;Daw527
435655829-63;Gilberto M M Santos;GSant435;San375
432851953-14;Leticia M M Barbosa;LBarb432;Bar879
319591572-03;Gilberto F L Marques;GMarq319;Mar614
104403795-88;Tamara G C Massula;TMass104;Mas438
101595510-03;Rafael J K Dutra;RDutr101;Dut104
163152300-66;Gabriel J C Salah;GSala163;Sal539
363025794-42;Cristina L L Santarém;CSant363;San412
287876960-90;Daniela A M Nunes;DNune287;Nun981
373798798-51;Emanuel I G Duncan;EDunc373;Dun332
642815142-25;Emanuel C M Mandacaru;EMand642;Man349
198050785-79;Paula A J Bomfin;PBomf198;Bom670
547900566-65;Beatriz G G Barros;BBarr547;Bar608
112126941-81;Beatriz A D Salah;BSala112;Sal835
587721742-12;João G I Carmo;JCarm587;Car403
056405801-68;Mirella E D Saunders;MSaun056;Sau187
071535322-86;Tamara K L Sanders;TSand071;San169
157005186-06;Francisco K K Amaral;FAmar157;Ama148
372618556-63;Leandro B J deJesus;LdeJe372;deJ324
333783505-75;Ruver I M Souza;RSouz333;Sou615
373435848-75;Jéssica F L Fernandes;JFern373;Fer205
583666718-41;Orclevio H J Massula;OMass583;Mas814
625234233-95;Ruver M J Martin;RMart625;Mar206
337979285-13;Pedro J D deJesus;PdeJe337;deJ239
646374680-60;Beatriz A C Garcia;BGarc646;Gar295
469033676-15;Mauro C F Dawson;MDaws469;Daw649
077025379-22;Fernanda B L Tavares;FTava077;Tav226
355626924-65;Arthur E F Caldas;ACald355;Cal209
646722551-31;Andressa B C Salah;ASala646;Sal108
092994184-08;Amália D L Salah;ASala092;Sal448
376664494-76;Arthur A L Magela;AMage376;Mag807
149429385-61;Juliana A D Leal;JLeal149;Lea368
584903862-46;Walber M G Barros;WBarr584;Bar247
148173059-80;Andressa H G Magela;AMage148;Mag653
056091362-91;Juliana H E Alves;JAlve056;Alv466
169750469-20;Marcus C E Murray;MMurr169;Mur581
508789573-68;Diogo I J Bomfin;DBomf508;Bom968
657065287-21;Rodrigo A L Moreira;RMore657;Mor853
384001996-22;Daniela A H James;DJame384;Jam254
272593270-42;Pedro A L Marques;PMarq272;Mar275
520399681-70;Orlando E F Bomfin;OBomf520;Bom403
318402501-27;Leonardo I L Marques;LMarq318;Mar898
354519164-62;Jéssica E A Bryant;JBrya354;Bry405
443865401-12;Isabela A B Salah;ISala443;Sal246
214758022-20;Bárbara I G Garcia;BGarc214;Gar207
488881693-03;Beatriz I D Mandacaru;BMand488;Man224
228525760-34;Mauro B H Dias;MDias228;Dia507
117356014-88;Amália M A Santos;ASant117;San184
412368524-69;Daniela M M Moore;DMoor412;Moo950
387900038-31;Isadora A B Ferreira;IFerr387;Fer789
365232900-58;Rafael L L Silva;RSilv365;Sil900
443454417-86;Leticia H M Duncan;LDunc443;Dun750
583189725-18;Richelle D L Baker;RBake583;Bak751
369940648-10;Natália E J Murray;NMurr369;Mur716
449759874-02;Natália L A Barbosa;NBarb449;Bar908
630045710-63;Tamara G J Moreira;TMore630;Mor974
270619703-82;Mirella L B Marinho;MMari270;Mar227
633037614-00;Sandra J C Marinho;SMari633;Mar682
091134917-44;Sabine H H Santarém;SSant091;San651
163700493-46;Ruver F J Duncan;RDunc163;Dun599
127529970-62;Bruno J G James;BJame127;Jam463
363381400-46;Gustavo A G Marques;GMarq363;Mar163
529711237-82;Gilberto E E Sanders;GSand529;San636
471672925-02;Anna K C Ferreira;AFerr471;Fer854
407709769-32;Paula K G Logan;PLoga407;Log823
416912329-76;Amália G A Ferreira;AFerr416;Fer469
342814222-22;Isadora M E Holland;IHoll342;Hol399
277297160-69;Gabriela F A Donaldson;GDona277;Don200
256572607-60;Isabela E B Dawson;IDaws256;Daw751
516253860-04;Andressa I C Saunders;ASaun516;Sau785
068516546-22;Juliana C C Silva;JSilv068;Sil603
178329854-66;Rogério D H Ferreira;RFerr178;Fer821
600010126-67;Paula D F Amaral;PAmar600;Ama183
247334173-40;Leonardo C B Barbosa;LBarb247;Bar693
329433893-20;Jardel G L Santarém;JSant329;San376
197117611-76;Gabriel C C Sanders;GSand197;San716
313304418-79;Emanuel I E Murta;EMurt313;Mur432
378068533-11;Emanuel F E Teixeira;ETeix378;Tei270
602466125-79;Bruno C F Caldas;BCald602;Cal914
354292449-96;João E I Ximenes;JXime354;Xim564
340864142-70;Eduardo E D Silva;ESilv340;Sil408
080220462-83;Gustavo J G Logan;GLoga080;Log653
672911642-91;Cristina D E Salah;CSala672;Sal251
338327963-11;Leonardo B F Santos;LSant338;San337
299704323-83;Ruver L E Moore;RMoor299;Moo834
236629409-16;Orclevio M J Alves;OAlve236;Alv270
645200467-22;Andressa G B Martin;AMart645;Mar722
626976918-68;Tamara E J Barbosa;TBarb626;Bar835
589506332-32;Sabine A A Barros;SBarr589;Bar582
289919916-08;Isadora E K Dawson;IDaws289;Daw791
175565614-30;Gabriel G E Damascena;GDama175;Dam297
590503472-39;Fernanda E G Dias;FDias590;Dia790
665847983-32;Walber H M Santos;WSant665;San479
425064924-35;Eduarda I E Santarém;ESant425;San732
444007601-02;Gustavo L L Dutra;GDutr444;Dut482
359485323-18;Richelle J I Rodrigues;RRodr359;Rod764
424030386-97;Eduarda I E Bomfin;EBomf424;Bom679
524177408-27;João D J Sanders;JSand524;San260
448182888-38;Pedro G B Parker;PPark448;Par690
175245139-09;Ruver D L Dutra;RDutr175;Dut153
273499388-12;Rogério C K Damascena;RDama273;Dam429
221065667-39;Richelle M A Barbosa;RBarb221;Bar309
048785478-33;Ruver M D Dias;RDias048;Dia126
347277616-67;Anna E L Turner;ATurn347;Tur458
269358919-63;Emanuel M H Silva;ESilv269;Sil552
629268101-27;Mirella M K Dutra;MDutr629;Dut458
374336729-49;Rafael D E Carmo;RCarm374;Car418
250651238-36;Richelle E L Alves;RAlve250;Alv927
255219735-84;Richelle K E Dawson;RDaws255;Daw240
148921744-18;Jonathan I H Alves;JAlve148;Alv813
176282467-31;Diogo L A Santos;DSant176;San116
585526310-10;Paula H G Domingues;PDomi585;Dom384
311940650-53;Fernanda B E Carmo;FCarm311;Car648
115180818-54;Anna D M Turner;ATurn115;Tur794
496092349-66;Sabine F F Murta;SMurt496;Mur177
090039598-54;Walber E M Turner;WTurn090;Tur898
322026139-15;Felipe F K Domingues;FDomi322;Dom998
666704073-00;Richelle K J Tavares;RTava666;Tav410
383577010-42;Nicky M I Rodrigues;NRodr383;Rod576
662762317-61;Orclevio L F Dutra;ODutr662;Dut279
455528967-39;Rodrigo H M Saunders;RSaun455;Sau462
463175243-69;Mauro G F Souza;MSouz463;Sou802
355992817-50;Leandro F I Madsen;LMads355;Mad416
470725171-13;Isabela I D Amaral;IAmar470;Ama918
127139054-59;Orclevio I J Massula;OMass127;Mas232
392854859-55;Rodrigo D M Tavares;RTava392;Tav571
346539738-44;Fernanda K C Turner;FTurn346;Tur450
447216059-05;Gabriela J M Oliveira;GOliv447;Oli565
678337294-88;Ruver J K Moore;RMoor678;Moo430
097331487-94;Gustavo D A Heredia;GHere097;Her283
629373754-01;Cleber G H Martins;CMart629;Mar926
551673536-42;Cleber D I Amaral;CAmar551;Ama488
111161792-29;Jéssica A E Fernandes;JFern111;Fer882
221184550-41;Daniela K M Santarém;DSant221;San440
041199717-72;Leonardo A L Duncan;LDunc041;Dun789
364197993-19;Beatriz K A Donaldson;BDona364;Don354
254563846-65;Thiago E I Fernandes;TFern254;Fer638
563185485-74;Andressa H M Domingues;ADomi563;Dom559
041353320-16;Luiz C E Avelino;LAvel041;Ave564
647404382-59;Nicky B H Bryant;NBrya647;Bry293
118686142-70;Carlos I F Avelino;CAvel118;Ave131
247764769-20;Thiago G I Dias;TDias247;Dia234
233404043-85;Sandra F D Dias;SDias233;Dia558
079089079-05;Sabine I K Baker;SBake079;Bak680
200829454-60;Sandra E D Holland;SHoll200;Hol852
048590382-60;Felipe D H Donaldson;FDona048;Don426
572012116-28;Cristina I I Mandacaru;CMand572;Man345
568400667-81;Francisco C L Bomfin;FBomf568;Bom641
489619142-99;Jonathan K C Amaral;JAmar489;Ama188
394574803-71;Beatriz G A Santos;BSant394;San488
629803026-58;Leandro D K Ferreira;LFerr629;Fer767
112081175-10;Gabriel H J Donaldson;GDona112;Don750
258126729-42;Bruno L K Moore;BMoor258;Moo909
350418921-09;Andressa G J Moore;AMoor350;Moo231
313727803-95;Fernanda C B Logan;FLoga313;Log438
295981998-00;Diogo D B Damascena;DDama295;Dam498
044494947-21;Thiago H M Marinho;TMari044;Mar764
259245985-88;Luiz H H Domingues;LDomi259;Dom574
462089105-23;Richelle E A Dias;RDias462;Dia611
260308623-15;Beatriz J H Donaldson;BDona260;Don524
208796658-06;Rafael D I Avelino;RAvel208;Ave185
605266947-17;Cleber L E Nunes;CNune605;Nun972
258370776-16;Orclevio J J Magela;OMage258;Mag205
253296427-05;Juliana K J Carmo;JCarm253;Car292
521900584-35;Orclevio E I Parker;OPark521;Par351
384123980-89;Márcia J F Bryant;MBrya384;Bry989
587764862-97;Juliana E J Turner;JTurn587;Tur948
671331511-45;Jardel M E Marques;JMarq671;Mar131
046016570-66;Orclevio G L Martins;OMart046;Mar207
447569761-86;Juliana L E Silva;JSilv447;Sil480
285239350-55;Gabriel A C Baker;GBake285;Bak564
631412365-28;Isabela E B Garcia;IGarc631;Gar974
653006606-81;Daniela J H Teixeira;DTeix653;Tei572
447467097-44;Bárbara E E Avelino;BAvel447;Ave370
403587831-18;Jéssica D M Carmo;JCarm403;Car146
578718719-96;Cristina D I Sanders;CSand578;San260
585931867-88;Thiago H G deJesus;TdeJe585;deJ218
350862139-72;Jonathan H E Moore;JMoor350;Moo276
364985560-02;Ruver M I Heredia;RHere364;Her661
669720165-32;Gabriela L B Baker;GBake669;Bak786
519645425-66;Pedro I A Donaldson;PDona519;Don194
384455317-44;Fernanda A C Murray;FMurr384;Mur441
282911690-31;Leandro D L Oliveira;LOliv282;Oli322
450928948-73;Juliana C F Rodrigues;JRodr450;Rod524
236788258-09;Natália J G Carmo;NCarm236;Car165
280342809-09;Nicky I F Santos;NSant280;San285
467625448-54;Pedro J G Tavares;PTava467;Tav841
515032460-94;Richelle A A Martins;RMart515;Mar234
632598240-85;Walber F J Silva;WSilv632;Sil134
566540744-04;Orclevio K E Emanuel;OEman566;Ema532
675556740-47;Paula G A Silva;PSilv675;Sil513
045478637-09;Anna B D Logan;ALoga045;Log824
557834585-96;Gabriel L E Parker;GPark557;Par191
118136661-41;Rodrigo I J James;RJame118;Jam693
368018783-92;Isabela M A Saunders;ISaun368;Sau596
600294360-37;Juliana D L Carmo;JCarm600;Car259
534135162-72;Eduarda K D Parker;EPark534;Par527
558970400-34;Mirella B L Oliveira;MOliv558;Oli718
117868329-77;Gabriel E E Bryant;GBrya117;Bry872
313688744-96;Mauro B E Murray;MMurr313;Mur219
268868967-01;Bárbara F F Murray;BMurr268;Mur678
172027229-31;Thiago C B Murray;TMurr172;Mur336
164204380-13;João K C Rodrigues;JRodr164;Rod576
418918169-86;Gabriel J A Heredia;GHere418;Her572
347650977-87;Orclevio B C Tavares;OTava347;Tav344
055725693-88;Márcia C H Amaral;MAmar055;Ama755
156876043-22;Francisco G C Domingues;FDomi156;Dom634
101335363-02;Juliana B B Emanuel;JEman101;Ema462
344498458-99;Marcus E M Madsen;MMads344;Mad491
483456361-43;Rogério I F Moreira;RMore483;Mor642
195203369-53;Bruno L A Dutra;BDutr195;Dut230
478454082-99;Rodrigo A A Dias;RDias478;Dia529
675325986-59;Bruno H A Ferreira;BFerr675;Fer551
514123727-47;Gustavo D H Ferreira;GFerr514;Fer732
053304554-68;Rogério H G Carmo;RCarm053;Car248
529927087-09;Rogério E B Ximenes;RXime529;Xim296
334164084-22;Ruver J D Caldas;RCald334;Cal704
371944167-39;Pedro D H Dias;PDias371;Dia854
056760093-85;Bárbara K D Massula;BMass056;Mas882
310834159-56;Nicky F F Murta;NMurt310;Mur834
497669462-62;Sabine M G Fernandes;SFern497;Fer314
275587416-59;Leandro B A Marques;LMarq275;Mar434
144382328-75;Sabine K F Oliveira;SOliv144;Oli226
346245202-05;Arthur L M Marinho;AMari346;Mar635
526819821-34;Gabriel E A Ferreira;GFerr526;Fer151
357015984-86;Bárbara A J Mandacaru;BMand357;Man190
229019809-16;Jéssica K B Avelino;JAvel229;Ave519
284627554-64;Orlando M A Turner;OTurn284;Tur646
566771784-15;Marcus D H Saunders;MSaun566;Sau545
234210187-93;Arthur I B Turner;ATurn234;Tur884
640228837-07;Márcia H D Salah;MSala640;Sal807
147456481-99;Emanuel M H Ferreira;EFerr147;Fer108
379467388-25;Daniela C K Logan;DLoga379;Log161
085515168-13;Natália L M James;NJame085;Jam849
050823632-18;Fernanda M C Sanders;FSand050;San387
220686118-72;Paula I C Salah;PSala220;Sal327
544047243-52;Rafael L G Duncan;RDunc544;Dun883
473993029-14;Cleber I J Caldas;CCald473;Cal858
606370253-00;Andressa G H Amaral;AAmar606;Ama922
548360329-66;Leonardo K H Amaral;LAmar548;Ama780
143050592-49;Gabriel G H Barbosa;GBarb143;Bar254
491188674-70;Natália K D Dawson;NDaws491;Daw179
551168473-24;Márcia B M Bryant;MBrya551;Bry837
493968502-85;Francisco C B Teixeira;FTeix493;Tei334
473365882-63;Juliana C D Mattos;JMatt473;Mat463
215383710-46;Thiago H J Ferreira;TFerr215;Fer856
498628538-49;Bárbara K D Parker;BPark498;Par908
260015159-57;Leonardo M B Santos;LSant260;San286
115443931-14;Beatriz F B Mattos;BMatt115;Mat961
467333500-40;Bárbara I M James;BJame467;Jam486
557356460-31;Orlando K E Murta;OMurt557;Mur939
373578348-70;Diogo F K Nunes;DNune373;Nun941
357497017-76;Bruno M M Martin;BMart357;Mar892
083036245-18;Diogo D M James;DJame083;Jam228
380761973-63;Leonardo A L Murta;LMurt380;Mur740
306264691-89;Carlos I I Garcia;CGarc306;Gar599
412105267-33;Walber I G Nunes;WNune412;Nun302
429206098-24;Jardel J B Dawson;JDaws429;Daw206
640108549-11;Francisco L M Magela;FMage640;Mag714
092160838-22;Sabine G M Bryant;SBrya092;Bry840
382799445-19;Mauro I C Amaral;MAmar382;Ama281
325707373-87;Fernanda M B Souza;FSouz325;Sou568
514718173-08;Lucas A L Amaral;LAmar514;Ama975
667301020-30;Leticia M K Madsen;LMads667;Mad260
080904720-03;Mirella I L Emanuel;MEman080;Ema183
575074804-19;Márcia L M Duncan;MDunc575;Dun397
141221800-12;Amália A B Moore;AMoor141;Moo486
088378081-51;Gabriela E A Barbosa;GBarb088;Bar435
265370311-40;Leticia E B Marques;LMarq265;Mar336
353671793-84;Beatriz H B Parker;BPark353;Par760
663935196-01;Beatriz M C Marques;BMarq663;Mar839
180982112-44;Sabine J F Oliveira;SOliv180;Oli173
432089223-06;Athos C K Teixeira;ATeix432;Tei426
373549373-03;João D G Dawson;JDaws373;Daw111
263613606-70;Felipe G K Fernandes;FFern263;Fer931
119448186-62;Arthur D F Amaral;AAmar119;Ama885
675535159-96;Francisco M A Damascena;FDama675;Dam205
329636034-76;Anna C A Souza;ASouz329;Sou903
074394690-69;Arthur C J Dias;ADias074;Dia302
494651152-70;Emanuel A M Salah;ESala494;Sal136
324771047-48;Luiz L C Rodrigues;LRodr324;Rod548
595648117-94;Orlando I E Parker;OPark595;Par260
060180133-59;Orclevio A L Damascena;ODama060;Dam664
510067764-40;Natália D H Amaral;NAmar510;Ama318
117222574-53;Rogério J I Carmo;RCarm117;Car180
257264225-88;Cleber M F Moore;CMoor257;Moo451
334597951-23;Rafael C H Holland;RHoll334;Hol703
607439727-74;Orclevio H M Santarém;OSant607;San289
278877647-43;Diogo L F Emanuel;DEman278;Ema472
556340962-69;Athos C K Santos;ASant556;San178
266473519-46;Sandra A G Martins;SMart266;Mar270
636290337-31;João M I Dawson;JDaws636;Daw937
351422095-39;Leandro C C Duncan;LDunc351;Dun300
107837258-60;Andressa I D Damascena;ADama107;Dam514
441995098-21;Gilberto E J Caldas;GCald441;Cal625
224951605-87;Eduardo G J Salah;ESala224;Sal712
369865523-71;Gabriela B H Caldas;GCald369;Cal589
402802772-14;Eduardo A J Souza;ESouz402;Sou792
550932243-61;Francisco C I Garcia;FGarc550;Gar921
050262727-37;Daniela K H Teixeira;DTeix050;Tei734
047442359-13;Daniela D H Marinho;DMari047;Mar750
328081067-34;Arthur K I Murray;AMurr328;Mur451
503130847-64;Márcia B C Moore;MMoor503;Moo402
496721423-21;Anna M D Baker;ABake496;Bak379
321708159-92;Arthur K L Murray;AMurr321;Mur599
089144403-10;Cristina B A Murray;CMurr089;Mur262
662608779-42;Nicky D G Garcia;NGarc662;Gar337
232034864-64;Orlando G H Duncan;ODunc232;Dun622
430267154-21;Rogério B I Madsen;RMads430;Mad720
382865155-93;Daniela M C Ferreira;DFerr382;Fer891
637619227-40;Athos A J Madsen;AMads637;Mad798
474093319-85;Jardel D K Bomfin;JBomf474;Bom685
645055528-02;Gabriel C J James;GJame645;Jam309
490089300-83;Francisco J M Duncan;FDunc490;Dun340
398863606-66;Anna E H Logan;ALoga398;Log504
652860096-72;Thiago B A Barros;TBarr652;Bar449
298996733-81;Tamara C K Fernandes;TFern298;Fer533
496901816-75;Luiz J J Garcia;LGarc496;Gar925
299393691-89;Emanuel F I Magela;EMage299;Mag115
040464640-11;Beatriz J D Silva;BSilv040;Sil120
562996956-34;Eduarda E B Murta;EMurt562;Mur429
415496983-70;Gabriela F H Turner;GTurn415;Tur823
252498925-90;Tamara B K Rodrigues;TRodr252;Rod339
568860341-92;Thiago L D Holland;THoll568;Hol209
076163757-62;Jéssica K M Magela;JMage076;Mag799
307526284-84;Amália M H Magela;AMage307;Mag749
528411493-87;Thiago A M Mandacaru;TMand528;Man287
341272008-28;Thiago D D Damascena;TDama341;Dam482
077697138-39;Tamara M J Oliveira;TOliv077;Oli381
106051905-95;Carlos L G Amaral;CAmar106;Ama549
596183841-40;Sabine G K Domingues;SDomi596;Dom940
666852614-02;Fernanda F D Baker;FBake666;Bak994
181409776-52;Anna M B Martin;AMart181;Mar813
141030696-26;Marcus E H Dawson;MDaws141;Daw888
064308673-74;Orlando G K Dias;ODias064;Dia829
279172054-02;Ruver F J Caldas;RCald279;Cal923
391232413-61;Andressa A K Santarém;ASant391;San825
410840151-49;Orlando L J Massula;OMass410;Mas619
131657955-83;Andressa B A Moore;AMoor131;Moo684
518127364-64;Arthur A B Murray;AMurr518;Mur852
364518851-31;Orlando F D Madsen;OMads364;Mad274
517547876-37;Arthur K L Garcia;AGarc517;Gar288
131912642-32;Amália K C Logan;ALoga131;Log212
156389103-80;Amália J M Oliveira;AOliv156;Oli827
169501602-81;Eduarda F D Baker;EBake169;Bak310
508266743-98;Leticia H I Magela;LMage508;Mag857
596106730-53;Paula G H Salah;PSala596;Sal640
268804106-32;Rafael M D Martins;RMart268;Mar556
198845810-32;Orclevio H J Madsen;OMads198;Mad594
464843472-66;Anna F C Domingues;ADomi464;Dom965
450299631-14;Natália F L Ferreira;NFerr450;Fer210
531033834-31;Isadora C E Mandacaru;IMand531;Man875
276412240-64;Mauro M H Dias;MDias276;Dia178
187077980-34;Juliana A M Dutra;JDutr187;Dut470
316544089-34;Daniela E C Magela;DMage316;Mag948
491857253-43;Jéssica D M Baker;JBake491;Bak257
360746062-40;Gabriel K D Murta;GMurt360;Mur731
344003843-16;Beatriz J H Parker;BPark344;Par642
295036040-18;Luiz G E deJesus;LdeJe295;deJ450
579062742-07;Emanuel C H Massula;EMass579;Mas726
202216182-01;Juliana J I Donaldson;JDona202;Don332
472493866-56;Daniela H F Rodrigues;DRodr472;Rod691
593869404-56;Cleber G I Caldas;CCald593;Cal767
652886567-93;Fernanda E L Martin;FMart652;Mar801
164078212-00;Cristina H D Sanders;CSand164;San770
213982245-12;Juliana E L Avelino;JAvel213;Ave602
311544676-90;Cristina G H Salah;CSala311;Sal562
065890652-86;Cleber C L Mattos;CMatt065;Mat424
247048937-60;Rafael I B Garcia;RGarc247;Gar274
393105908-71;Cleber F E Silva;CSilv393;Sil323
445925526-95;Isadora M D Barros;IBarr445;Bar574
406829964-29;Jéssica L H Rodrigues;JRodr406;Rod568
303715688-92;Leandro L K Barros;LBarr303;Bar526
616601005-16;Jéssica D J Murta;JMurt616;Mur284
641268547-23;Gabriel A F Madsen;GMads641;Mad762
657170007-70;Mauro C E Bomfin;MBomf657;Bom629
251150840-11;Eduarda K D Santarém;ESant251;San489
078055920-98;Orclevio J H Mattos;OMatt078;Mat663
064210474-69;Paula A L Souza;PSouz064;Sou800
226622370-27;Gabriela H F Tavares;GTava226;Tav543
576755142-72;Jardel D C Domingues;JDomi576;Dom644
072316156-46;Gustavo J G Heredia;GHere072;Her479
549500903-23;Juliana H G Donaldson;JDona549;Don561
512026612-24;Cleber G D Domingues;CDomi512;Dom190
450513171-13;Diogo G K Mattos;DMatt450;Mat568
364357396-22;Lucas G K Marques;LMarq364;Mar832
644191574-28;Eduardo C J Dawson;EDaws644;Daw953
608069964-09;Walber G H Donaldson;WDona608;Don696
494899896-40;Gustavo G H Martin;GMart494;Mar585
287003004-67;Walber M H Heredia;WHere287;Her812
138588761-49;Anna M J Dutra;ADutr138;Dut134
162925461-74;Mauro B L Mattos;MMatt162;Mat636
369566156-69;Beatriz C B Heredia;BHere369;Her676
221685607-95;Rafael A L Ferreira;RFerr221;Fer597
544238479-76;Márcia J M Barros;MBarr544;Bar104
325211055-98;Eduarda E A Nunes;ENune325;Nun540
040358253-95;Sandra L M Madsen;SMads040;Mad390
652611935-10;Thiago D D Moore;TMoor652;Moo458
326201392-88;Ruver K D Donaldson;RDona326;Don342
606305424-71;Jonathan F D Murta;JMurt606;Mur271
270643351-40;Bruno D M Bomfin;BBomf270;Bom522
411422706-61;Luiz D K Tavares;LTava411;Tav650
094417097-38;Anna E F Heredia;AHere094;Her216
284328444-79;Athos J D Tavares;ATava284;Tav653
637678847-52;Isadora M A Baker;IBake637;Bak116
527906207-85;Orlando G L Baker;OBake527;Bak515
464391272-92;Natália D K Garcia;NGarc464;Gar257
095555077-82;Jardel I I Tavares;JTava095;Tav728
661747691-19;Tamara F D Bryant;TBrya661;Bry604
320267119-46;Rafael H L James;RJame320;Jam712
342336359-58;Leandro D C Leal;LLeal342;Lea513
610556057-86;Orlando F I Ximenes;OXime610;Xim316
176026123-98;Juliana D B Domingues;JDomi176;Dom517
178769093-59;Sandra D F Martins;SMart178;Mar612
121795331-81;Sandra H K Damascena;SDama121;Dam744
154168818-54;Rogério G L Duncan;RDunc154;Dun895
047027977-53;Natália J C Salah;NSala047;Sal117
644969344-00;Isadora C D Santos;ISant644;San120
332987345-02;Márcia K J Santos;MSant332;San551
360907327-55;Thiago B K Murta;TMurt360;Mur577
647641866-45;Bruno I L Holland;BHoll647;Hol263
056983720-55;Leandro C F Teixeira;LTeix056;Tei560
579085717-34;Juliana D F Martins;JMart579;Mar185
408829778-72;Luiz D C James;LJame408;Jam954
098590625-42;Jonathan B J Avelino;JAvel098;Ave739
452778081-55;Tamara J K Carmo;TCarm452;Car107
496885150-89;Isabela K K Tavares;ITava496;Tav546
078371107-49;Marcus D D Fernandes;MFern078;Fer364
095483153-02;Isabela F E Holland;IHoll095;Hol111
289719574-96;Beatriz C J deJesus;BdeJe289;deJ214
200093508-78;Eduarda K G Donaldson;EDona200;Don525
297975149-29;Arthur K E Nunes;ANune297;Nun129
488544180-84;Cleber A A Rodrigues;CRodr488;Rod625
493777274-65;Pedro E K Leal;PLeal493;Lea566
152037078-06;Paula C A Baker;PBake152;Bak889
251398114-16;Gabriela H M Garcia;GGarc251;Gar399
601387647-39;Cleber G B Ximenes;CXime601;Xim738
064486551-21;Bárbara K E Garcia;BGarc064;Gar885
